dates,comments
2014-09-03 20:58:35,10
2014-09-03 22:09:10,28
2014-09-04 00:20:58,16
2014-09-04 01:03:10,15
2014-09-04 01:24:39,12
2014-09-04 02:29:24,57
2014-09-04 17:18:27,22
2014-09-04 22:00:30,419
2014-09-05 14:53:24,2
2014-09-05 17:20:01,79
2014-09-05 18:31:02,6
2014-09-05 22:00:00,11
2014-09-05 22:13:16,38
2014-09-06 01:12:36,14
2014-09-06 01:20:00,9
2014-09-06 14:20:01,32
2014-09-06 16:17:17,14
2014-09-06 17:00:02,3
2014-09-06 17:11:12,4
2014-09-06 19:40:01,51
2014-09-07 02:00:00,234
2014-09-07 16:00:01,45
2014-09-08 02:00:00,33
2014-09-08 19:07:22,46
2014-09-08 21:41:36,9
2014-09-09 01:01:34,428
2014-09-09 02:00:00,182
2014-09-09 18:41:17,24
2014-09-09 23:10:00,15
2014-09-10 18:40:09,69
2014-09-10 21:42:42,5
2014-09-10 22:06:47,19
2014-09-10 22:26:07,5
2014-09-10 22:45:50,35
2014-09-11 15:39:40,28
2014-09-11 19:17:00,56
2014-09-11 20:04:02,459
2014-09-12 00:00:00,147
2014-09-12 02:00:01,56
2014-09-12 14:45:00,27
2014-09-12 17:00:00,1940
2014-09-12 21:38:28,32
2014-09-13 00:05:00,22
2014-09-21 19:10:35,33
2014-09-21 22:00:00,11
2014-09-22 01:20:00,288
2014-09-22 14:42:10,67
2014-09-22 18:17:49,169
2014-09-22 19:00:01,68
2014-09-22 21:56:37,36
2014-09-23 14:55:34,213
2014-09-23 17:18:54,1336
2014-09-23 22:30:50,72
2014-09-24 02:00:01,283
2014-09-24 15:09:24,46
2014-09-24 17:40:00,85
2014-09-24 21:25:29,37
2014-09-25 00:59:29,41
2014-09-25 15:40:39,28
2014-09-25 19:14:36,41
2014-09-25 22:30:00,27
2014-09-26 02:00:01,51
2014-09-26 14:35:00,45
2014-09-26 20:20:00,18
2014-09-26 23:07:54,4
2014-09-26 23:35:00,57
2014-09-26 23:43:14,625
2014-09-27 13:53:49,74
2014-09-27 18:03:37,10
2014-09-27 18:27:06,9
2014-09-27 19:17:35,17
2014-09-27 20:00:00,35
2014-09-27 22:26:23,74
2014-09-27 22:40:36,191
2014-09-27 22:52:45,40
2014-09-27 23:35:27,87
2014-09-27 23:58:26,43
2014-09-28 15:35:00,35
2014-09-28 18:10:00,280
2014-09-28 19:25:31,39
2014-09-29 01:05:01,38
2014-09-29 18:12:43,164
2014-09-29 20:56:07,27
2014-09-30 00:00:00,52
2014-09-30 15:51:44,41
2014-09-30 23:57:31,24
2014-10-01 00:38:01,26
2014-10-01 15:20:55,26
2014-10-01 18:22:12,564
2014-10-01 20:20:01,150
2014-10-02 02:00:00,65
2014-10-02 16:57:53,53
2014-10-02 23:39:28,42
2014-10-03 19:00:00,400
2014-10-03 19:27:30,241
2014-10-03 21:30:00,12
2014-10-04 02:00:00,110
2014-10-04 17:17:59,23
2014-10-04 19:10:01,4
2014-10-05 03:00:01,177
2014-10-05 14:10:35,17
2014-10-05 16:00:01,14
2014-10-05 20:00:00,134
2014-10-05 20:36:32,3
2014-10-05 22:29:59,34
2014-10-05 23:51:25,36
